type,latitude,longitude,course,name,desc
T,40.442290000,-105.077450000,180.0,,
T,40.442240000,-105.077450000,180.0,,
T,40.442210000,-105.077440000,165.8,,
T,40.442170000,-105.077420000,159.2,,
T,40.442090000,-105.077380000,159.2,,
T,40.441550000,-105.077380000,180.0,,
T,40.440770000,-105.077390000,180.6,,
T,40.440250000,-105.077390000,180.0,,
T,40.439750000,-105.077390000,180.0,,
T,40.439230000,-105.077380000,179.2,,
T,40.439200000,-105.077430000,231.8,,
T,40.439180000,-105.077440000,200.8,,
T,40.439170000,-105.077450000,217.3,,
T,40.439160000,-105.077450000,180.0,,
T,40.439140000,-105.077450000,180.0,,
T,40.438980000,-105.077460000,182.7,,
T,40.438270000,-105.077470000,180.6,,
T,40.437780000,-105.077460000,179.1,,
T,40.437440000,-105.077450000,178.7,,
T,40.437390000,-105.077450000,180.0,,
T,40.437370000,-105.077450000,180.0,,
T,40.437350000,-105.077440000,159.2,,
T,40.437320000,-105.077430000,165.8,,
T,40.437300000,-105.077420000,159.2,,
T,40.437230000,-105.077380000,156.5,,
T,40.436850000,-105.077380000,180.0,,
T,40.436520000,-105.077380000,180.0,,
T,40.435980000,-105.077390000,180.8,,
T,40.435650000,-105.077380000,178.7,,
T,40.435430000,-105.077400000,184.0,,
T,40.435100000,-105.077410000,181.3,,
T,40.434840000,-105.077410000,180.0,,
T,40.434470000,-105.077410000,180.0,,
T,40.434050000,-105.077420000,181.0,,
T,40.433540000,-105.077430000,180.9,,
T,40.432790000,-105.077440000,180.6,,
T,40.431990000,-105.077450000,180.5,,
T,40.431930000,-105.077500000,212.4,,
T,40.431910000,-105.077510000,200.8,,
T,40.431900000,-105.077510000,180.0,,
T,40.431880000,-105.077520000,200.8,,
T,40.431850000,-105.077520000,180.0,,
T,40.431500000,-105.077530000,181.2,,
T,40.430470000,-105.077540000,180.4,,
T,40.430200000,-105.077550000,181.6,,
T,40.429780000,-105.077560000,181.0,,
T,40.429080000,-105.077570000,180.6,,
T,40.428670000,-105.077570000,180.0,,
T,40.428510000,-105.077570000,180.0,,
T,40.428480000,-105.077570000,180.0,,
T,40.428450000,-105.077570000,180.0,,
T,40.428430000,-105.077560000,159.2,,
T,40.428400000,-105.077550000,165.8,,
T,40.428330000,-105.077510000,156.5,,
T,40.428160000,-105.077510000,180.0,,
T,40.426700000,-105.077530000,180.6,,
T,40.426490000,-105.077530000,180.0,,
T,40.426080000,-105.077540000,181.1,,
T,40.426020000,-105.077590000,212.4,,
T,40.426010000,-105.077600000,217.3,,
T,40.426000000,-105.077610000,217.3,,
T,40.425980000,-105.077610000,180.0,,
T,40.425960000,-105.077610000,180.0,,
T,40.425590000,-105.077620000,181.2,,
T,40.425330000,-105.077620000,180.0,,
T,40.424750000,-105.077620000,180.0,,
T,40.424380000,-105.077620000,180.0,,
T,40.424240000,-105.077610000,176.9,,
T,40.424150000,-105.077600000,175.2,,
T,40.424040000,-105.077590000,176.0,,
T,40.423960000,-105.077580000,174.6,,
T,40.423820000,-105.077550000,170.7,,
T,40.423710000,-105.077530000,172.1,,
T,40.423600000,-105.077500000,168.3,,
T,40.423590000,-105.077500000,180.0,,
T,40.423470000,-105.077460000,165.8,,
T,40.423350000,-105.077420000,165.8,,
T,40.423200000,-105.077360000,163.1,,
T,40.423040000,-105.077290000,161.6,,
