type,latitude,longitude,course,name,desc
T,40.316310000,-105.105110000,193.2,,
T,40.316120000,-105.105170000,193.5,,
T,40.315800000,-105.105250000,190.8,,
T,40.315480000,-105.105330000,190.8,,
T,40.315180000,-105.105400000,190.1,,
T,40.314850000,-105.105460000,187.9,,
T,40.314290000,-105.105560000,187.8,,
T,40.314110000,-105.105590000,187.2,,
T,40.313910000,-105.105620000,186.5,,
T,40.313630000,-105.105650000,184.7,,
T,40.313290000,-105.105700000,186.4,,
T,40.312350000,-105.105800000,184.6,,
T,40.310340000,-105.106020000,184.8,,
T,40.309800000,-105.106090000,185.6,,
T,40.309130000,-105.106150000,183.9,,
T,40.308950000,-105.106170000,184.8,,
T,40.308850000,-105.106170000,180.0,,
T,40.308630000,-105.106190000,184.0,,
T,40.307730000,-105.106230000,181.9,,
T,40.307460000,-105.106250000,183.2,,
T,40.307200000,-105.106260000,181.7,,
T,40.306360000,-105.106270000,180.5,,
T,40.305450000,-105.106270000,180.0,,
T,40.305200000,-105.106260000,178.3,,
T,40.305090000,-105.106270000,184.0,,
T,40.304880000,-105.106260000,177.9,,
T,40.304660000,-105.106240000,176.0,,
T,40.304180000,-105.106200000,176.4,,
T,40.303980000,-105.106160000,171.3,,
T,40.303700000,-105.106110000,172.2,,
T,40.303430000,-105.106040000,168.8,,
T,40.303270000,-105.106000000,169.2,,
T,40.303120000,-105.105960000,168.5,,
T,40.302940000,-105.105910000,168.0,,
T,40.302600000,-105.105780000,163.7,,
T,40.302340000,-105.105670000,162.1,,
T,40.302080000,-105.105570000,163.7,,
T,40.301650000,-105.105350000,158.7,,
T,40.301290000,-105.105120000,154.0,,
T,40.300980000,-105.104930000,154.9,,
T,40.300590000,-105.104690000,154.9,,
T,40.300200000,-105.104460000,155.8,,
T,40.299660000,-105.104120000,154.3,,
T,40.299390000,-105.103960000,155.7,,
T,40.299010000,-105.103750000,157.1,,
T,40.298820000,-105.103650000,158.1,,
T,40.298710000,-105.103590000,157.4,,
T,40.298620000,-105.103540000,157.0,,
T,40.298310000,-105.103400000,161.0,,
T,40.298080000,-105.103300000,161.7,,
T,40.297840000,-105.103200000,162.4,,
T,40.297740000,-105.103170000,167.1,,
T,40.297670000,-105.103140000,161.9,,
T,40.297590000,-105.103110000,164.0,,
T,40.297450000,-105.103060000,164.8,,
T,40.297040000,-105.102920000,165.4,,
T,40.296920000,-105.102890000,169.2,,
T,40.296600000,-105.102810000,169.2,,
T,40.296260000,-105.102740000,171.1,,
T,40.296070000,-105.102710000,173.1,,
T,40.295960000,-105.102700000,176.0,,
T,40.295830000,-105.102670000,170.0,,
T,40.295730000,-105.102660000,175.6,,
T,40.295590000,-105.102650000,176.9,,
T,40.295410000,-105.102630000,175.2,,
T,40.294970000,-105.102610000,178.0,,
T,40.294420000,-105.102610000,180.0,,
T,40.292190000,-105.102610000,180.0,,
T,40.290180000,-105.102610000,180.0,,
T,40.290010000,-105.102600000,177.4,,
T,40.289900000,-105.102530000,154.1,,
T,40.288110000,-105.102530000,180.0,,
T,40.287340000,-105.102520000,179.4,,
T,40.286350000,-105.102520000,180.0,,
T,40.285410000,-105.102520000,180.0,,
T,40.283350000,-105.102520000,180.0,,
T,40.283320000,-105.102520000,180.0,,
T,40.283060000,-105.102520000,180.0,,
T,40.282250000,-105.102520000,180.0,,
T,40.281600000,-105.102520000,180.0,,
T,40.279690000,-105.102520000,180.0,,
T,40.277770000,-105.102520000,180.0,,
T,40.276600000,-105.102520000,180.0,,
T,40.276300000,-105.102510000,178.5,,
T,40.276020000,-105.102510000,180.0,,
T,40.275730000,-105.102510000,180.0,,
T,40.275450000,-105.102510000,180.0,,
T,40.274420000,-105.102500000,179.6,,
T,40.273070000,-105.102500000,180.0,,
T,40.272690000,-105.102500000,180.0,,
T,40.271490000,-105.102500000,180.0,,
T,40.270960000,-105.102500000,180.0,,
T,40.269210000,-105.102490000,179.8,,
T,40.269160000,-105.102490000,180.0,,
T,40.269090000,-105.102490000,180.0,,
T,40.268690000,-105.102490000,180.0,,
T,40.268340000,-105.102490000,180.0,,
T,40.267810000,-105.102500000,180.8,,
T,40.267300000,-105.102490000,179.1,,
T,40.266940000,-105.102490000,180.0,,
T,40.264490000,-105.102480000,179.8,,
T,40.262790000,-105.102470000,179.7,,
T,40.262300000,-105.102480000,180.9,,
T,40.262000000,-105.102470000,178.5,,
T,40.261390000,-105.102460000,179.3,,
T,40.260800000,-105.102470000,180.7,,
T,40.260440000,-105.102470000,180.0,,
T,40.259370000,-105.102480000,180.4,,
T,40.259210000,-105.102480000,180.0,,
T,40.258850000,-105.102490000,181.2,,
T,40.258620000,-105.102500000,181.9,,
T,40.258330000,-105.102520000,183.0,,
T,40.258100000,-105.102530000,181.9,,
T,40.257760000,-105.102560000,183.9,,
T,40.257240000,-105.102610000,184.2,,
T,40.256300000,-105.102710000,184.6,,
T,40.255810000,-105.102760000,184.5,,
T,40.255640000,-105.102770000,182.6,,
T,40.255500000,-105.102780000,183.1,,
T,40.255410000,-105.102790000,184.8,,
T,40.255290000,-105.102800000,183.6,,
T,40.255020000,-105.102820000,183.2,,
T,40.254780000,-105.102830000,181.8,,
T,40.254470000,-105.102840000,181.4,,
T,40.254320000,-105.102850000,182.9,,
T,40.254000000,-105.102850000,180.0,,
T,40.252940000,-105.102860000,180.4,,
T,40.251200000,-105.102850000,179.7,,
T,40.250860000,-105.102850000,180.0,,
T,40.248600000,-105.102830000,179.6,,
T,40.248000000,-105.102830000,180.0,,
T,40.247350000,-105.102820000,179.3,,
T,40.246830000,-105.102830000,180.8,,
T,40.246320000,-105.102820000,179.1,,
T,40.245170000,-105.102820000,180.0,,
T,40.243600000,-105.102810000,179.7,,
T,40.242950000,-105.102810000,180.0,,
T,40.242480000,-105.102800000,179.1,,
T,40.241980000,-105.102800000,180.0,,
T,40.241270000,-105.102790000,179.4,,
T,40.240930000,-105.102780000,178.7,,
T,40.240490000,-105.102760000,178.0,,
T,40.240180000,-105.102750000,178.6,,
T,40.239570000,-105.102700000,176.4,,
T,40.238680000,-105.102610000,175.6,,
T,40.238340000,-105.102580000,176.1,,
T,40.237770000,-105.102520000,175.4,,
T,40.237210000,-105.102470000,176.1,,
T,40.236930000,-105.102450000,176.9,,
T,40.236580000,-105.102420000,176.3,,
T,40.236120000,-105.102400000,178.1,,
T,40.235840000,-105.102390000,178.4,,
T,40.235550000,-105.102380000,178.5,,
T,40.235070000,-105.102380000,180.0,,
T,40.234560000,-105.102380000,180.0,,
T,40.234270000,-105.102380000,180.0,,
T,40.233770000,-105.102380000,180.0,,
T,40.233080000,-105.102380000,180.0,,
T,40.232230000,-105.102380000,180.0,,
T,40.230240000,-105.102390000,180.2,,
T,40.228380000,-105.102390000,180.0,,
T,40.225920000,-105.102390000,180.0,,
T,40.221660000,-105.102400000,180.1,,
T,40.219450000,-105.102410000,180.2,,
T,40.218180000,-105.102410000,180.0,,
T,40.217680000,-105.102410000,180.0,,
T,40.217180000,-105.102410000,180.0,,
T,40.215950000,-105.102400000,179.6,,
T,40.213690000,-105.102390000,179.8,,
T,40.212350000,-105.102380000,179.7,,
T,40.211560000,-105.102380000,180.0,,
T,40.211060000,-105.102380000,180.0,,
T,40.210120000,-105.102400000,180.9,,
T,40.209460000,-105.102420000,181.3,,
T,40.209090000,-105.102440000,182.4,,
T,40.208390000,-105.102470000,181.9,,
T,40.208100000,-105.102480000,181.5,,
T,40.207900000,-105.102490000,182.2,,
T,40.207130000,-105.102520000,181.7,,
T,40.206350000,-105.102550000,181.7,,
T,40.205870000,-105.102540000,179.1,,
T,40.205730000,-105.102610000,200.9,,
T,40.205020000,-105.102610000,180.0,,
T,40.204460000,-105.102610000,180.0,,
T,40.203990000,-105.102610000,180.0,,
T,40.203690000,-105.102600000,178.5,,
T,40.203370000,-105.102590000,178.6,,
T,40.203240000,-105.102590000,180.0,,
T,40.202900000,-105.102600000,181.3,,
T,40.201120000,-105.102570000,179.3,,
T,40.201050000,-105.102570000,180.0,,
T,40.200630000,-105.102560000,179.0,,
T,40.200530000,-105.102480000,148.6,,
T,40.200270000,-105.102480000,180.0,,
T,40.200050000,-105.102480000,180.0,,
T,40.199920000,-105.102480000,180.0,,
T,40.199530000,-105.102480000,180.0,,
T,40.199040000,-105.102470000,179.1,,
T,40.198670000,-105.102460000,178.8,,
T,40.198180000,-105.102450000,179.1,,
T,40.198090000,-105.102440000,175.1,,
T,40.197960000,-105.102440000,180.0,,
T,40.197810000,-105.102430000,177.1,,
T,40.197440000,-105.102430000,180.0,,
T,40.196980000,-105.102410000,178.1,,
T,40.196860000,-105.102410000,180.0,,
T,40.196610000,-105.102420000,181.8,,
T,40.196600000,-105.102420000,180.0,,
T,40.196490000,-105.102410000,176.0,,
T,40.196310000,-105.102410000,180.0,,
T,40.196120000,-105.102420000,182.3,,
T,40.195870000,-105.102420000,180.0,,
T,40.195820000,-105.102420000,180.0,,
T,40.195810000,-105.102420000,180.0,,
T,40.195590000,-105.102420000,180.0,,
T,40.195490000,-105.102420000,180.0,,
T,40.195320000,-105.102410000,177.4,,
T,40.194990000,-105.102410000,180.0,,
T,40.194850000,-105.102400000,176.9,,
T,40.194720000,-105.102400000,180.0,,
T,40.194390000,-105.102390000,178.7,,
T,40.194200000,-105.102380000,177.7,,
T,40.193850000,-105.102370000,178.8,,
T,40.193580000,-105.102360000,178.4,,
T,40.193470000,-105.102360000,180.0,,
T,40.192900000,-105.102350000,179.2,,
T,40.192610000,-105.102340000,178.5,,
T,40.192480000,-105.102340000,180.0,,
T,40.192380000,-105.102340000,180.0,,
T,40.192190000,-105.102340000,180.0,,
T,40.191780000,-105.102340000,180.0,,
T,40.191450000,-105.102340000,180.0,,
T,40.191230000,-105.102340000,180.0,,
T,40.191090000,-105.102340000,180.0,,
T,40.190790000,-105.102340000,180.0,,
T,40.190650000,-105.102340000,180.0,,
T,40.190450000,-105.102330000,177.8,,
T,40.189980000,-105.102330000,180.0,,
T,40.189740000,-105.102320000,178.2,,
T,40.189270000,-105.102320000,180.0,,
T,40.189060000,-105.102320000,180.0,,
T,40.188990000,-105.102320000,180.0,,
T,40.188560000,-105.102310000,179.0,,
T,40.188130000,-105.102300000,179.0,,
T,40.187650000,-105.102310000,180.9,,
T,40.186620000,-105.102330000,180.8,,
T,40.185600000,-105.102340000,180.4,,
T,40.185280000,-105.102340000,180.0,,
T,40.184900000,-105.102350000,181.2,,
T,40.184530000,-105.102360000,181.2,,
T,40.181930000,-105.102390000,180.5,,
T,40.181770000,-105.102400000,182.7,,
T,40.181640000,-105.102400000,180.0,,
T,40.181420000,-105.102400000,180.0,,
T,40.181270000,-105.102400000,180.0,,
T,40.181050000,-105.102410000,182.0,,
T,40.180750000,-105.102410000,180.0,,
T,40.180590000,-105.102410000,180.0,,
T,40.180210000,-105.102420000,181.2,,
T,40.179450000,-105.102430000,180.6,,
T,40.178120000,-105.102450000,180.7,,
T,40.177630000,-105.102450000,180.0,,
T,40.177260000,-105.102460000,181.2,,
T,40.176200000,-105.102460000,180.0,,
T,40.176040000,-105.102470000,182.7,,
T,40.175800000,-105.102470000,180.0,,
T,40.175540000,-105.102470000,180.0,,
T,40.174590000,-105.102480000,180.5,,
T,40.174310000,-105.102490000,181.6,,
T,40.173930000,-105.102500000,181.2,,
T,40.173510000,-105.102500000,180.0,,
T,40.172670000,-105.102500000,180.0,,
T,40.172320000,-105.102510000,181.3,,
T,40.172320000,-105.102510000,181.3,,
T,40.172320000,-105.103840000,270.0,,
T,40.172320000,-105.103840000,270.0,,
T,40.171800000,-105.103830000,179.2,,
T,40.171260000,-105.103830000,180.0,,
